region,city,players_origin
Illinois,LaGrange,1
Bosnia and Herzegovina,Doboj,1
Illinois,Norris City,1
Brazil,Sao Carlos,1
Illinois,East Peoria,1
Canada,Etobicoke,1
Indiana,Huntingburg,1
Czech Republic,Zlin,1
Indiana,Logansport,1
Egypt,Alexandria,1
Indiana,West Lafayette,1
France,Saint-Maurice,1
Indiana,LaPorte,1
Germany,Landstuhl,1
Kansas,Leavenworth,1
Greece,Amarousio,1
Kentucky,Henshaw,1
Italy,San Giovanni in Persiceto,1
Kentucky,Farmington,1
Italy,Caserta,1
Louisiana,Thibodaux,1
Mexico,Meoqui,1
Louisiana,Jonesboro,1
Puerto Rico,Aibonito,1
Louisiana,Summerfield,1
Slovenia,Slovenj Gradec,1
Maryland,Berlin,1
Spain,Azuqueca de Henares,1
Minnesota,Winona,1
Sweden,Stockholm,1
Mississippi,Flora,1
Alabama,Meridianville,1
Mississippi,Indianola,1
Arkansas,Blytheville,1
Mississippi,Laurel,1
California,Santa Clara,1
Montana,,1
California,Oceanside,1
New Jersey,Plainsboro,1
California,Palmdale,1
New Jersey,Fanwood,1
California,Tarzana,1
New York,Floral Park,1
California,Chatsworth,1
New York,Elmira,1
California,San Gabriel,1
New York,Amherst,1
California,Reedley,1
New York,Uniondale,1
California,Los Gatos,1
New York,Lockport,1
Colorado,Greeley,1
New York,Flushing,1
Florida,Jasper,1
North Dakota,Bottineau,1
Florida,Pahokee,1
Ohio,Reynoldsburg,1
Florida,Lauderdale Lakes,1
Ohio,Wilmington,1
Georgia,Milan,1
Pennsylvania,Ardmore,1
Hawaii,Maui,1
Pennsylvania,Wilkinsburg,1
Illinois,Lincoln,1
Pennsylvania,Clairton,1
Illinois,Cairo,1
Pennsylvania,Kingston,1
Iowa,Orange City,1
Pennsylvania,Orefield,1
Kansas,Winfield,1
South Dakota,Mitchell,1
Kansas,Wamego,1
New York,Mount Kisco,1
Kansas,Yale,1
New York,Scarsdale,1
Kansas,Meriden,1
North Dakota,Minot,1
Kentucky,,1
Ohio,Warrensville Heights,1
Kentucky,Bedford,1
Oklahoma,Taft,1
Louisiana,Grambling,1
Oregon,Roseburg,1
Louisiana,Ferriday,1
Pennsylvania,Coatesville,1
Louisiana,Columbia,1
Pennsylvania,Braddock,1
Mississippi,Necaise Crossing,1
Pennsylvania,Sewickley,1
Mississippi,Kiln,1
South Carolina,Union,1
Mississippi,Flowood,1
South Carolina,Hopkins,1
Missouri,Charlestown,1
Tennessee,Antioch,1
Missouri,Kirksville,1
Tennessee,Mt. Juliet,1
New Jersey,Lakewood,1
Texas,Harlingen,1
New Jersey,Englewood,1
Texas,Texarkana,1
New York,Glendale,1
Texas,Falls County,1
New York,Angola,1
Texas,Texas City,1
New York,Naples,1
Texas,Corpus Christi,1
North Carolina,Franklinton,1
Texas,Waxahachie,1
North Carolina,Jonesville,1
Utah,Pleasant Grove,1
Ohio,Fostoria,1
Austria,Vienna,1
Ohio,Lebanon,1
Canada,Brampton,1
Pennsylvania,West Mifflin,1
France,Cagnes-sur-Mer,1
Pennsylvania,Lebanon,1
Mali,Bougouni,1
Pennsylvania,Midland,1
Mexico,El Rosario,1
Pennsylvania,Williamsport,1
Nigeria,Kaduna,1
Pennsylvania,Wilkes-Barre,1
Panama,Panama City,1
South Carolina,Walterboro,1
Romania,Triteni,1
Tennessee,Oak Ridge,1
South Sudan,Juba,1
Tennessee,Bells,1
Spain,El Masnou,1
Texas,Webster,1
Switzerland,Morges,1
Texas,Livingston,1
Ukraine,Antratsit,1
Texas,Dublin,1
Alabama,Anniston,1
Viginia,South Boston,1
Alabama,Centreville,1
Washington,Chelan,1
Alabama,Selma,1
Wisconsin,Elkhorn,1
Alabama,Elba,1
Wisconsin,Chippewa Falls,1
California,Richmond,1
Wisconsin,Phillips,1
California,Newport Beach,1
Argentina,Venado Tuerto,1
California,Lakeport,1
Canada,Uxbridge,1
California,Palos Verdes,1
Finland,Helsinki,1
Florida,Daytona,1
France,Le Havre,1
Florida,Tavares,1
Iceland,Reykjavik,1
Idaho,Paul,1
Lithuania,Marijampole,1
Illinois,Madison,1
Norway,Oslo,1
Illinois,Elmhurst,1
Panama,Panama Canal Zone,1
Illinois,East Dundee,1
Romania,Satu-Mare,1
Illinois,Trenton,1
Serbia,Valjevo,1
Illinois,Sandwich,1
Slovenia,Maribor,1
Indiana,New Albany,1
Switzerland,Geneva,1
Kansas,Pittsburg,1
United Kingdom,Southampton,1
Kansas,Manhattan,1
Alabama,Leeds,1
Kentucky,Henderson,1
Alabama,Fort Rucker,1
Kentucky,Columbia,1
Alabama,Bessemer,1
Kentucky,Princeton,1
Arizona,Mesa,1
Louisiana,Gretna,1
Arkansas,Cherry Valley,1
Louisiana,Collinston,1
Arkansas,Cotton Plant,1
Massachusetts,Arlington,1
Arkansas,Jacksonville,1
Massachusetts,New Bedford,1
California,Greenbrae,1
Michigan,Battle Creek,1
California,Edwards AFB,1
Minnesota,Apple Valley,1
California,Rosemead,1
Minnesota,Fulda,1
California,Orange County,1
Mississippi,Scooba,1
California,Colton,1
Mississippi,Quitman,1
Delaware,New Castle,1
Mississippi,Thornton,1
Florida,Leesburg,1
New Jersey,Willingboro,1
Georgia,Valdosta,1
New Jersey,Caldwell,1
Georgia,Roswell,1
New Jersey,New Jersey,1
Georgia,Thomson,1
New York,Hempstead,1
Georgia,Talbotton,1
Viginia,Covington,1
Georgia,Perry,1
Viginia,Falls Church,1
Illinois,Campbell Hill,1
Washington,Elma,1
Illinois,Oak Lawn,1
Washington,Renton,1
Illinois,South Holland,1
Wisconsin,Neenah,1
Illinois,Gurnee,1
Antigua and Barbuda,St. John's,1
Illinois,Roselle,1
Australia,Canberra,1
Indiana,Tipton,1
Bosnia and Herzegovina,Bihac,1
Indiana,Lebanon,1
Canada,Winnipeg,1
Iowa,Washington,1
China,He Shan,1
Kentucky,Warren County,1
Czech Republic,Strakonice,1
Kentucky,Williamstown,1
France,Clamart,1
Louisiana,Sailes,1
France,Cholet,1
Louisiana,Delcambre,1
Gabon,Port-Gentil,1
Maryland,Havre De Grace,1
Germany,Eschwege,1
Massachusetts,Fall River,1
Hungary,,1
Michigan,Linwood,1
Islamic Republic of Iran,Ahvaz,1
Minnesota,Stillwater,1
Martinique,Le Robert,1
Minnesota,Hill City,1
Nigeria,Nkwere,1
Minnesota,Gonvick,1
Serbia,Priboj,1
Mississippi,Anguilla,1
Spain,Vic,1
Mississippi,Tylertown,1
Turkey,Bursa,1
Mississippi,Summit,1
United Kingdom,Farnham,1
Nebraska,Hastings,1
United Republic of Tanzania,Dar es Salaam,1
New Jersey,Belle Mead,1
Alabama,Covin,1
New Jersey,Somerville,1
Alabama,Brantley,1
New York,Bayville,1
Alabama,Linden,1
New York,Mineola,1
California,Carson,1
New York,North Babylon,1
California,Orinda,1
New York,Huntington Station,1
California,Costa Mesa,1
New York,Hudson,1
California,Covina,1
New York,Waterloo,1
California,Mount Shasta,1
New York,Sunnyside,1
Florida,Melbourne,1
North Carolina,High Point,1
Florida,Longwood,1
North Carolina,Wagram,1
Georgia,Elberton,1
North Carolina,Oxford,1
Illinois,Centreville,1
North Carolina,Plymouth,1
Illinois,Batavia,1
North Carolina,Halifax,1
Illinois,Mount Vernon,1
North Carolina,Golden Valley,1
Illinois,Moline,1
Ohio,Zanesville,1
Kansas,Spearville,1
Ohio,Shelby,1
Kentucky,Williamsport,1
Oregon,Happy Valley,1
Kentucky,Harlan,1
Pennsylvania,Bethlehem,1
Kentucky,Caldwell,1
Pennsylvania,Aliquippa,1
Louisiana,Sorrento,1
Pennsylvania,Holland,1
Maryland,Havre de Grace,1
South Carolina,Sumter,1
Massachusetts,Malden,1
South Carolina,Ritter,1
Michigan,Wyoming,1
Tennessee,Parsons,1
Minnesota,Cottage Grove,1
Tennessee,Clarksville,1
Minnesota,McIntosh,1
Texas,Hillister,1
Mississippi,Houston,1
Texas,Dodd City,1
Mississippi,Vicksburg,1
Texas,Albany,1
Mississippi,Natchez,1
Texas,Medicine Mound,1
Missouri,Clarkton,1
Texas,Crockett,1
Missouri,Mexico,1
Texas,Tulia,1
Montana,Great Falls,1
Texas,Nederland,1
Montana,Libby,1
Texas,Broaddus,1
New Jersey,Pitman,1
Utah,Layton,1
New York,Hicksville,1
Viginia,Montross,1
New York,Richmond,1
Viginia,Suffolk,1
New York,Rome,1
Washington,Battle Ground,1
North Carolina,Gibson,1
Wisconsin,Owen,1
North Carolina,Washington,1
Belgium,Ixelles,1
Ohio,Barberton,1
Brazil,Belo Horizonte,1
Pennsylvania,Ephrata,1
Canada,Holland Landing,1
Pennsylvania,Simpson,1
Croatia,Osijek,1
Rhode Island,West Warwick,1
Democratic Republic of the Congo,Lubumbashi,1
